Site,Session,PSNR,MSE,NMI,SSIM,SoftwareVersion,Temperature
P0003,202309,33.40718746,0.002626279,1.462027604,0.984470374,8.6,23
P0003,202309,32.80140128,0.002764073,1.45446271,0.98368898,8.6,23
P0003,202310,33.03958525,0.002695211,1.457251432,0.983950256,8.6,23
P0003,202310,33.50483169,0.002883246,1.46104695,0.98306994,8.6,22
P0003,202310,33.25936816,0.002676636,1.459957852,0.984005325,8.6,22
P0003,202310,33.27378818,0.002606767,1.461483516,0.984639011,8.6,22
P0003,202310,32.96710434,0.002757287,1.456147578,0.983826045,8.6,22
P0003,202310,33.27813792,0.002619104,1.461027225,0.984559692,8.6,22
P0003,202310,33.64685257,0.002735619,1.463900027,0.983948912,8.6,20
P0003,202310,32.73176005,0.00314929,1.448306115,0.9817934,8.6,22
P0003,202310,33.27270247,0.002692402,1.459983938,0.984556301,8.6,22
P0003,202310,33.27952824,0.002782316,1.458919873,0.983946194,8.6,22
P0003,202310,33.29164884,0.00272456,1.46013612,0.983985597,8.6,22
P0003,202310,32.99606216,0.002689264,1.456743296,0.984062163,8.6,23
P0003,202310,33.64894228,0.00285355,1.463512039,0.982590699,8.6,18
P0003,202310,33.89512063,0.002724548,1.467382931,0.983710683,8.6,18
P0003,202311,33.95568501,0.002682928,1.468301505,0.98417797,8.6,19
P0003,202311,33.91323486,0.002632403,1.468146101,0.984606251,8.6,20
P0003,202311,33.27322269,0.00265863,1.461065143,0.984492012,8.6,21
P0003,202402,33.24746045,0.00268666,1.460136183,0.984237174,8.61,21
P0003,202402,33.15797185,0.00265325,1.459205865,0.984462393,8.61,23
P0003,202402,33.14210247,0.002858277,1.456746322,0.983165243,8.61,21
P0004,202306,34.6026833,0.002577799,1.484907091,0.982507327,8.7,19
P0004,202307,34.56300354,0.002551828,1.484859039,0.982994369,8.7,19
P0004,202307,33.96734509,0.002771398,1.475049471,0.981321067,8.7,19
P0004,202307,34.33934179,0.00259496,1.481465173,0.982518758,8.7,19
P0004,202307,34.33225579,0.00260603,1.481348627,0.98257439,8.7,19
P0004,202308,34.58605587,0.002563575,1.484837136,0.982796737,8.7,19
P0004,202308,34.46057843,0.002550198,1.483359745,0.983333416,8.7,19
P0004,202308,34.02971473,0.002858689,1.475214311,0.980593993,8.7,19
P0004,202308,34.23683314,0.002510014,1.480846446,0.983120744,8.7,20
P0004,202308,34.62827649,0.002520171,1.485764928,0.98319096,8.7,20
P0004,202308,33.90261888,0.002901428,1.474573934,0.980323283,8.7,19
P0004,202308,34.5144423,0.002539067,1.483980954,0.983089089,8.7,19
P0004,202308,34.19097297,0.002662546,1.479091074,0.981850119,8.7,20
P0004,202309,34.56767943,0.002581382,1.484573893,0.982712239,8.7,20
P0004,202401,34.75528766,0.002828029,1.485359726,0.981423878,8.7,20
P0004,202401,34.59536284,0.002743933,1.482951052,0.981998729,8.7,20
