Site,Session,PSNR,MSE,NMI,SSIM,SoftwareVersion,Temperature,Date
P0003,202309,33.40718746,0.002626279,1.462027604,0.984470374,8.6,23,2023-09-01
P0003,202309,32.80140128,0.002764073,1.45446271,0.98368898,8.6,23,2023-09-01
P0003,202310,33.03958525,0.002695211,1.457251432,0.983950256,8.6,23,2023-10-01
P0003,202310,33.50483169,0.002883246,1.46104695,0.98306994,8.6,22,2023-10-01
P0003,202310,33.25936816,0.002676636,1.459957852,0.984005325,8.6,22,2023-10-01
P0003,202310,33.27378818,0.002606767,1.461483516,0.984639011,8.6,22,2023-10-01
P0003,202310,32.96710434,0.002757287,1.456147578,0.983826045,8.6,22,2023-10-01
P0003,202310,33.27813792,0.002619104,1.461027225,0.984559692,8.6,22,2023-10-01
P0003,202310,33.64685257,0.002735619,1.463900027,0.983948912,8.6,20,2023-10-01
P0003,202310,32.73176005,0.00314929,1.448306115,0.9817934,8.6,22,2023-10-01
P0003,202310,33.27270247,0.002692402,1.459983938,0.984556301,8.6,22,2023-10-01
P0003,202310,33.27952824,0.002782316,1.458919873,0.983946194,8.6,22,2023-10-01
P0003,202310,33.29164884,0.00272456,1.46013612,0.983985597,8.6,22,2023-10-01
P0003,202310,32.99606216,0.002689264,1.456743296,0.984062163,8.6,23,2023-10-01
P0003,202310,33.64894228,0.00285355,1.463512039,0.982590699,8.6,18,2023-10-01
P0003,202310,33.89512063,0.002724548,1.467382931,0.983710683,8.6,18,2023-10-01
P0003,202311,33.95568501,0.002682928,1.468301505,0.98417797,8.6,19,2023-11-01
P0003,202311,33.91323486,0.002632403,1.468146101,0.984606251,8.6,20,2023-11-01
P0003,202311,33.27322269,0.00265863,1.461065143,0.984492012,8.6,21,2023-11-01
P0003,202402,33.24746045,0.00268666,1.460136183,0.984237174,8.61,21,2024-02-01
P0003,202402,33.15797185,0.00265325,1.459205865,0.984462393,8.61,23,2024-02-01
P0003,202402,33.14210247,0.002858277,1.456746322,0.983165243,8.61,21,2024-02-01
